"FECHA;DESDE;HASTA;LINEA;MOLINETE;ESTACION;pax_pagos;pax_pases_pagos;pax_franq;pax_TOTAL"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_EMitre_Turn02;Emilio Mitre;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Indepen_Turn01;Independencia.H;2;0;2;4"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Pichin_Turn02;Pichincha;11;0;0;11"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_EMitre_Turn01;Emilio Mitre;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Belgrano_Turn02;General Belgrano;1;0;1;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_Turn05;Pza. de los Virreyes;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Belgrano_Turn01;General Belgrano;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Medalla_Turn01;Medalla Milagrosa;2;0;1;3"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Jujuy_Turn01;Jujuy;0;0;2;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_E_Turn04;Pza. de los Virreyes;21;0;0;21"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_E_Turn02;Pza. de los Virreyes;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_LaPlata_Turn02;Avenida La Plata;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Bolivar_N_Turn01;Bolivar;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_E_Turn01;Pza. de los Virreyes;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_SanJose_Turn02;San Jose;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Jujuy_Turn02;Jujuy;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_CCentral_N_Turn01;Correo Central;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Varela_Turn01;Varela;6;0;0;6"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_LaPlata_Turn01;Avenida La Plata;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_RetiroE_S_Turn03;Retiro E;4;0;0;4"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Indepen_Turn04;Independencia.H;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_Turn03;Pza. de los Virreyes;0;0;2;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_CCentral_S_Turn02;Correo Central;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_RetiroE_S_Turn02;Retiro E;4;0;0;4"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Urquiza_Turn02;Urquiza;7;0;0;7"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Boedo_Turn01;Boedo;6;0;3;9"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Pichin_Turn03;Pichincha;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Cordoba_Turn01;Cordoba;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Once_Sur_Turn03;Once;4;0;1;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Patricios_Turn03;Patricios;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_LasHeras_Turn03;Las Heras;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Caseros_Norte_Turn02;Caseros;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Corrientes_Sur_Turn02;Corrientes;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Venezuela_Norte_Turn01;Venezuela;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Sur_Turn03;Hospitales;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Norte_Turn02;Hospitales;12;0;0;12"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Inclan_Sur_Turn01;Inclan;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Once_Sur_Turn04;Once;6;0;1;7"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_HPrimo_Sur_Turn02;Humberto I;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Norte_Turn01;Hospitales;8;0;0;8"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Caseros_Norte_Turn01;Caseros;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_SantaFe_Norte_Turn01;Santa Fe;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_SantaFe_Sur_Turn01;Santa Fe;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Once_Norte_Turn01;Once;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_SantaFe_Sur_Turn03;Santa Fe;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Cordoba_Turn02;Cordoba;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Inclan_Sur_Turn02;Inclan;2;0;1;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_HPrimo_Sur_Turn01;Humberto I;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Inclan_Norte_Turn02;Inclan;3;0;1;4"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_HPrimo_Norte_Turn01;Humberto I;3;0;2;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Norte_Turn03;Hospitales;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Patricios_Turn04;Patricios;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Once_Norte_Turn03;Once;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_HPrimo_Norte_Turn02;Humberto I;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Sur_Turn02;Hospitales;5;0;1;6"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Corrientes_Norte_Turn01;Corrientes;0;0;2;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_LasHeras_Turn04;Las Heras;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Caseros_Sur_Turn01;Caseros;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_FDerecho_Norte_Turn01;Facultad de Derecho;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Venezuela_Sur_Turn02;Venezuela;2;0;3;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Patricios_Turn05;Patricios;4;0;0;4"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Venezuela_Sur_Turn01;Venezuela;10;0;0;10"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_SantaFe_Norte_Turn03;Santa Fe;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Patricios_Turn02;Patricios;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Cordoba_Turn03;Cordoba;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Caseros_Sur_Turn02;Caseros;3;0;0;3"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Hospitales_Sur_Turn01;Hospitales;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Inclan_Norte_Turn01;Inclan;6;0;0;6"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_FDerecho_Sur_Turn03;Facultad de Derecho;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaH;LineaH_Patricios_Turn01;Patricios;3;0;1;4"
"1/2/2024;05:45:00;06:00:00;LineaD;LineaD_CongresoTuc_S_Turn03;Congreso de Tucuman;0;0;1;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_S_Turn02;Correo Central;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_S_Turn04;Correo Central;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Varela_Turn02;Varela;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_Turn01;Pza. de los Virreyes;0;0;2;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Medalla_Turn02;Medalla Milagrosa;4;0;5;9"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Bolivar_N_Turn01;Bolivar;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Pichin_Turn03;Pichincha;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Medalla_Turn01;Medalla Milagrosa;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_S_Turn05;Correo Central;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Catalinas_N_Turn04;Catalinas;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Varela_Turn01;Varela;1;0;1;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Belgrano_Turn01;General Belgrano;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_RetiroE_N_Turn01;Retiro E;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Indepen_Turn01;Independencia.H;4;0;2;6"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_RetiroE_S_Turn05;Retiro E;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_RetiroE_S_Turn02;Retiro E;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Indepen_Turn03;Independencia.H;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_E_Turn01;Pza. de los Virreyes;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_LaPlata_Turn02;Avenida La Plata;1;0;2;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Boedo_Turn01;Boedo;6;0;0;6"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_SanJose_Turn01;San Jose;6;0;1;7"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_LaPlata_Turn01;Avenida La Plata;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_ERios_Turn03;Entre Rios;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Moreno_Turn01;Jose Maria Moreno;0;0;2;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Moreno_Turn02;Jose Maria Moreno;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_RetiroE_S_Turn03;Retiro E;5;0;0;5"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_ERios_Turn01;Entre Rios;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_EMitre_Turn02;Emilio Mitre;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_SanJose_Turn02;San Jose;3;0;1;4"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_Turn04;Pza. de los Virreyes;0;0;1;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_N_Turn02;Correo Central;1;0;0;1"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_N_Turn03;Correo Central;0;0;2;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_EMitre_Turn01;Emilio Mitre;9;0;0;9"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Belgrano_Turn02;General Belgrano;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Virreyes_E_Turn04;Pza. de los Virreyes;39;0;0;39"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_CCentral_N_Turn01;Correo Central;2;0;0;2"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_ERios_Turn02;Entre Rios;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Urquiza_Turn02;Urquiza;4;0;0;4"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Jujuy_Turn03;Jujuy;3;0;0;3"
"1/2/2024;05:45:00;06:00:00;LineaE;LineaE_Boedo_Turn03;Boedo;2;0;0;2"
