id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda,betweenness_sube,cambio_sube_vs_atraccion
84,Venezuela,H,2.0,0.20773748723186927,0.056579783852511126,0.057830440043827216,35,20.0,9.0,8.0,83.0,3.0,88.0,41.0,50.0,6.0,84.0,15.6,62.8,-34.61524215,-58.40473171,Venezuela (H),venezuela,76973,101,3938.3516483516482,1433560,364,16,15,19,50,0.20312109862671648,0.14630688197471153,0.11391107101441869,-0.05681421665200495,-0.03239581096029284,0.0976777634300232,-0.016233307584395493
9,Plaza Miserere,A,3.0,0.23650834184542038,0.053102625298329355,0.05715769438511208,39,6.0,72.0,5.0,86.0,9.0,82.0,43.0,48.0,18.0,70.0,16.2,71.6,-34.60981725,-58.40670712,Plaza Miserere (A),plaza miserere,77341,105,8719.263736263736,3173812,364,16,12,85,113,0.2312526009155225,0.19702795407846893,0.15925788306539548,-0.03422464683705356,-0.03777007101307345,0.17797234732764328,0.018714464262247793
81,Córdoba,H,2.0,0.1797752808988764,0.05548628428927681,0.053037275642408316,30,20.0,9.0,12.0,79.0,4.0,87.0,45.0,46.0,1.0,90.0,16.4,62.2,-34.59845511,-58.4037215,Córdoba (H),cordoba,99144,127,4620.662087912088,1681921,364,20,26,69,115,0.17578027465667903,0.16304922084062973,0.1649315689762186,-0.012731053816049304,0.0018823481355888794,0.10735987317984735,-0.05757169579637125
21,Carlos Pellegrini,B,4.0,0.11933946203609126,0.050225733634311515,0.16732044181567116,40,1.0,86.0,28.0,63.0,22.0,68.0,15.0,76.0,22.0,62.0,17.6,71.0,-34.60363711,-58.38071485,Carlos Pellegrini (B),carlos pellegrini,34559,67,10392.112637362638,3782729,364,11,10,43,64,0.11668747399084467,0.05623533198881019,0.07473100777776975,-0.06045214200203448,0.01849567578895956,0.14342855343138797,0.06869754565361821
44,Catedral,D,3.0,0.08622744296901602,0.052976190476190475,0.2070738425149083,38,6.0,72.0,52.0,39.0,10.0,81.0,9.0,82.0,11.0,74.0,17.6,69.6,-34.60780233,-58.3739558,Catedral (D),catedral,22213,42,10582.574603174604,3333511,315,22,11,27,60,0.08431127756970451,0.051167886597946285,0.058707960233888155,-0.033143390971758224,0.00754007363594187,0.042129381751755846,-0.01657857848213231
66,Jujuy,E,3.0,0.2314862104187947,0.05153445280833816,0.06942441144134959,42,6.0,72.0,7.0,84.0,15.0,76.0,34.0,57.0,38.0,47.0,20.0,67.2,-34.62386571,-58.40293658,Jujuy (E),jujuy,63307,78,1803.85989010989,656605,364,5,8,16,29,0.22634207240948767,0.13598263285189388,0.10229950585411507,-0.09035943955759379,-0.03368312699777881,0.07482913923970896,-0.027470366614406105
46,Tribunales,D,2.0,0.12155260469867211,0.0508280982295831,0.16501651067198592,41,20.0,9.0,27.0,64.0,17.0,74.0,16.0,75.0,30.0,54.0,22.0,55.2,-34.60158716,-58.38514235,Tribunales (D),tribunales,56649,96,5601.983766233766,1725411,308,17,7,28,52,0.11885143570536817,0.08596140501820239,0.10881117259077215,-0.03289003068716578,0.022849767572569762,0.1395284138032398,0.030717241212467647
24,Pasteur,B,2.0,0.11435989104528432,0.052230046948356805,0.07246752767546005,38,20.0,9.0,33.0,58.0,14.0,77.0,33.0,58.0,11.0,74.0,22.2,55.2,-34.60464297,-58.39947426,Pasteur (B),pasteur,85589,119,5645.744274809161,1479185,262,25,9,25,59,0.11181856013316678,0.06173946942843337,0.0755117515213761,-0.05007909070473341,0.013772282092942727,0.17028020114852027,0.09476844962714417
22,Uruguay,B,2.0,0.10606060606060609,0.050339366515837106,0.11878632759267853,38,20.0,9.0,41.0,50.0,21.0,70.0,20.0,71.0,11.0,74.0,22.6,54.8,-34.60409355,-58.38729613,Uruguay (B),uruguay,54539,93,6843.834710743801,2484312,363,21,10,34,65,0.1037037037037036,0.04903101247768346,0.06293603751826243,-0.05467269122602014,0.013905025040578972,0.14227215940705282,0.07933612188879038
26,Carlos Gardel,B,2.0,0.18386108273748725,0.05,0.04559855471342936,38,20.0,9.0,10.0,80.0,24.0,65.0,49.0,42.0,11.0,74.0,22.8,54.0,-34.60407952,-58.4117626,Carlos Gardel (B),carlos gardel,81279,109,8564.380165289256,3108870,363,12,7,24,43,0.17977528089887665,0.10086500432870296,0.09292768204214537,-0.07891027657017369,-0.007937322286557594,0.2012661018550597,0.10833841981291432
