id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico
35,Retiro,C,2.0,0.002220480668756531,0.041237113402061855,0.055446887864153006,41,20.0,9.0,81.0,9.0,61.0,29.0,44.0,46.0,32.0,47.0,47.6,28.0
53,Plaza Italia,D,2.0,0.12852664576802508,0.03831084022638224,0.013649686819406584,46,20.0,9.0,20.0,67.0,68.0,22.0,66.0,24.0,65.0,23.0,47.8,29.0
29,Malabia,B,2.0,0.10841170323928946,0.039783001808318265,0.01396402664817542,44,20.0,9.0,35.0,52.0,65.0,25.0,65.0,25.0,58.0,28.0,48.6,27.8
75,Retiro,E,2.0,0.0023510971786833857,0.04282238442822384,0.0625182704309329,43,20.0,9.0,80.0,10.0,57.0,33.0,39.0,51.0,49.0,33.0,49.0,27.2
69,Avenida La Plata,E,2.0,0.10841170323928946,0.04110228865016347,0.021263040314472206,48,20.0,9.0,35.0,52.0,63.0,27.0,59.0,31.0,69.0,19.0,49.2,27.6
13,Acoyte,A,2.0,0.10841170323928946,0.039373601789709174,0.011831553565372344,47,20.0,9.0,35.0,52.0,66.0,24.0,68.0,22.0,68.0,22.0,51.4,25.8
88,Parque Patricios,H,2.0,0.022727272727272728,0.0421455938697318,0.01427347650062403,43,20.0,9.0,72.0,12.0,60.0,30.0,63.0,27.0,49.0,33.0,52.8,22.2
54,Palermo,D,2.0,0.10841170323928946,0.03590371277029784,0.009179752576513047,48,20.0,9.0,35.0,52.0,72.0,18.0,71.0,19.0,69.0,19.0,53.4,23.4
30,Dorrego,B,2.0,0.08777429467084641,0.03713080168776371,0.009337574994401406,46,20.0,9.0,47.0,40.0,70.0,20.0,70.0,20.0,65.0,23.0,54.4,22.4
70,José María Moreno,E,2.0,0.08777429467084641,0.03827751196172249,0.014216151137243251,50,20.0,9.0,47.0,40.0,69.0,21.0,64.0,26.0,73.0,15.0,54.6,22.2
14,Primera Junta,A,2.0,0.08777429467084641,0.03677392394483912,0.007911473579549601,49,20.0,9.0,47.0,40.0,71.0,19.0,72.0,18.0,72.0,18.0,56.4,20.8
1,Plaza de Mayo,A,1.0,0.0,0.046049188906331764,0.11029823290435807,43,82.0,1.0,82.0,1.0,48.0,42.0,23.0,67.0,49.0,33.0,56.8,28.8
78,Facultad de Derecho,H,1.0,0.0,0.044647387113140535,0.012592311631564927,35,82.0,1.0,82.0,1.0,53.0,37.0,67.0,23.0,6.0,82.0,58.0,28.8
55,Ministro Carranza,D,2.0,0.08777429467084641,0.03372939823687236,0.006136804316471756,50,20.0,9.0,47.0,40.0,76.0,14.0,75.0,15.0,73.0,15.0,58.2,18.6
31,Federico Lacroze,B,2.0,0.06661442006269593,0.03475513428120063,0.006160502125146671,48,20.0,9.0,58.0,28.0,74.0,16.0,74.0,16.0,69.0,19.0,59.0,17.6
71,Emilio Mitre,E,2.0,0.06661442006269593,0.035757822023567656,0.009377704960579646,52,20.0,9.0,58.0,28.0,73.0,17.0,69.0,21.0,77.0,11.0,59.4,17.2
15,Puan,A,2.0,0.06661442006269593,0.03444227005870842,0.005219531040137925,51,20.0,9.0,58.0,28.0,75.0,15.0,77.0,13.0,76.0,14.0,61.2,15.8
56,Olleros,D,2.0,0.06661442006269593,0.031757488271382174,0.004047726124712454,52,20.0,9.0,58.0,28.0,80.0,10.0,78.0,12.0,77.0,11.0,62.6,14.0
32,Tronador,B,2.0,0.04493207941483804,0.03261675315048184,0.003939418151551838,50,20.0,9.0,63.0,23.0,78.0,12.0,79.0,11.0,73.0,15.0,62.6,14.0
72,Medalla Milagrosa,E,2.0,0.04493207941483804,0.03349828701941378,0.005995828474538186,54,20.0,9.0,63.0,23.0,77.0,13.0,76.0,14.0,81.0,7.0,63.4,13.2
16,Carabobo,A,2.0,0.04493207941483804,0.03234105108416024,0.0033376441898155906,53,20.0,9.0,63.0,23.0,79.0,11.0,81.0,9.0,80.0,10.0,64.6,12.4
57,José Hernández,D,2.0,0.04493207941483804,0.0299625468164794,0.0025877421450828265,54,20.0,9.0,63.0,23.0,84.0,6.0,82.0,8.0,81.0,7.0,66.0,10.6
43,Constitución,C,1.0,0.0,0.04117922321010763,0.04937926360267603,44,82.0,1.0,82.0,1.0,62.0,28.0,46.0,44.0,58.0,28.0,66.0,20.4
33,De los Incas,B,2.0,0.022727272727272728,0.030683403068340307,0.0023295078032484363,52,20.0,9.0,72.0,12.0,82.0,8.0,83.0,7.0,77.0,11.0,66.8,9.4
73,Varela,E,2.0,0.022727272727272728,0.031462281015373614,0.0035451000230704915,56,20.0,9.0,72.0,12.0,81.0,9.0,80.0,10.0,85.0,4.0,67.6,8.8
17,San José de Flores,A,2.0,0.022727272727272728,0.030439294361812523,0.0019736309349583673,55,20.0,9.0,72.0,12.0,83.0,7.0,84.0,6.0,84.0,6.0,68.6,8.0
58,Juramento,D,2.0,0.022727272727272728,0.02832314129385259,0.001529905944433574,56,20.0,9.0,72.0,12.0,88.0,2.0,86.0,4.0,85.0,4.0,70.2,6.2
89,Hospitales,H,1.0,0.0,0.038903625110521665,0.006622735588170663,45,82.0,1.0,82.0,1.0,67.0,23.0,73.0,17.0,63.0,26.0,73.4,13.6
34,Juan Manuel de Rosas,B,1.0,0.0,0.028928336620644313,0.001080932296091031,54,82.0,1.0,82.0,1.0,86.0,4.0,87.0,3.0,81.0,7.0,83.6,3.2
74,Plaza de los Virreyes,E,1.0,0.0,0.029619656681252104,0.0016448543138574134,58,82.0,1.0,82.0,1.0,85.0,5.0,85.0,5.0,88.0,1.0,84.4,2.6
18,San Pedrito,A,1.0,0.0,0.02871125611745514,0.0009157904839828891,57,82.0,1.0,82.0,1.0,87.0,3.0,88.0,2.0,87.0,3.0,85.2,2.0
59,Congreso de Tucumán,D,1.0,0.0,0.02682109113075282,0.0007098063577726654,58,82.0,1.0,82.0,1.0,89.0,1.0,89.0,1.0,88.0,1.0,86.0,1.0
