id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
61,Belgrano,E,2.0,0.08699059561128528,0.05131195335276968,0.22279801995775902,40,20.0,9.0,52.0,38.0,18.0,72.0,6.0,84.0,25.0,59.0,24.2,52.4,-34.61284911,-58.37758089,Belgrano (E),belgrano,42199,72,2338.8626373626375,851346,364,20,7,19,46,0.08503575076608785,0.04470630394813141,0.044984754354102485,-0.040329446817956444,0.00027845040597107573
26,Carlos Gardel,B,2.0,0.1671891327063741,0.049943246311010214,0.045575528786451124,38,20.0,9.0,12.0,76.0,28.0,61.0,49.0,41.0,14.0,71.0,24.6,51.6,-34.60407952,-58.4117626,Carlos Gardel (B),carlos gardel,81279,109,8564.380165289256,3108870,363,12,7,24,43,0.1634320735444334,0.09585195034149668,0.08718393707170541,-0.06758012320293671,-0.008668013269791275
48,Facultad de Medicina,D,2.0,0.11912225705329155,0.049943246311010214,0.08408373185595351,40,20.0,9.0,28.0,62.0,28.0,61.0,30.0,60.0,25.0,59.0,26.2,50.2,-34.59975708,-58.39792375,Facultad de Medicina (D),facultad de medicina,90884,123,8617.887323943662,2447480,284,41,23,18,82,0.11644535240040868,0.08858731735557546,0.11289614880871097,-0.027858035044833224,0.024308831453135518
63,San José,E,2.0,0.11598746081504703,0.04985835694050991,0.14158479216828151,41,20.0,9.0,33.0,57.0,32.0,57.0,18.0,72.0,32.0,47.0,27.0,48.4,-34.62233949,-58.38514855,San José (E),san jose,64362,93,1834.3131868131868,667690,364,22,1,15,38,0.11338100102145048,0.05914902879493355,0.05219647494754123,-0.05423197222651693,-0.006952553847392316
23,Callao,B,2.0,0.10440613026819927,0.05069124423963134,0.0887216342532127,40,20.0,9.0,41.0,49.0,21.0,69.0,28.0,62.0,25.0,59.0,27.0,49.6,-34.60441954,-58.39231424,Callao (B),callao,69278,111,8552.332417582418,3113049,364,44,24,39,107,0.10205992509363306,0.051563311304824735,0.06187522577209012,-0.05049661378880832,0.010311914467265385
41,Independencia,C,3.0,0.07654127481713689,0.049079754601226995,0.18006330947288493,40,6.0,71.0,54.0,36.0,38.0,52.0,13.0,77.0,25.0,59.0,27.2,59.0,-34.6181256,-58.38017361,Independencia (C),independencia,57252,94,3419.027918781726,1347097,364,21,1,26,48,0.07482124616956082,0.04557649026260587,0.039625107205914036,-0.029244755906954946,-0.005951383056691836
47,Callao,D,2.0,0.11794670846394985,0.049689440993788817,0.11556257703608329,41,20.0,9.0,29.0,61.0,35.0,55.0,22.0,68.0,32.0,47.0,27.6,48.0,-34.59963955,-58.39312518,Callao (D),callao,77743,111,6321.424332344213,2130320,317,56,21,46,123,0.11529622063329942,0.08328280974838148,0.10247618832198646,-0.03201341088491794,0.01919337857360498
50,Agüero,D,2.0,0.1857366771159875,0.047337278106508875,0.04438137775620226,40,20.0,9.0,10.0,80.0,45.0,45.0,50.0,40.0,25.0,59.0,30.0,46.6,-34.59162784,-58.40716132,Agüero (D),aguero,125052,148,4804.176848874598,1494099,311,17,19,88,124,0.18156281920326897,0.12719033592025714,0.15590395307811375,-0.054372483283011835,0.028713617157856614
8,Alberti,A,2.0,0.10366597004528039,0.05137186223000584,0.06211044204833151,41,20.0,9.0,42.0,48.0,16.0,73.0,40.0,50.0,32.0,47.0,30.0,45.4,-34.60983358,-58.40120753,Alberti (A),alberti,83110,115,2781.7906336088154,1009790,363,13,16,24,53,0.10133639768471242,0.07998390319754066,0.07086749832568655,-0.02135249448717176,-0.009116404871854111
10,Loria,A,2.0,0.1671891327063741,0.04929971988795518,0.03861739574114034,41,20.0,9.0,12.0,76.0,36.0,54.0,51.0,39.0,32.0,47.0,30.2,45.0,-34.61078169,-58.41518571,Loria (A),loria,81420,104,4540.7170329670325,1652821,364,19,11,11,41,0.1634320735444334,0.12395757832672738,0.10126583426241859,-0.03947449521770602,-0.022691744064308794
